id,name,amount,open_date,deadline,description,apply_link,tags
1,Cameron Impact Scholarship,"$50,000",,9/5/24,Academics & Public/Community Service,https://www.bryancameroneducationfoundation.org/scholarship,Academics,Community Service
2,The Gates Scholarship,Full Tuition,,9/15/24,"Minorities, Financial Need, Academics & Leadership",https://www.thegatesscholarship.org/scholarship,,,,,,,
3,QuestBridge National College Match,Full Tuition,,9/26/24,"Financial Need, Academic Success",https://www.questbridge.org/for-students/ncm-national-college-match,,,,,,,
4,AES Engineering Scholarship Opportunity,$500,,10/6/24,"Character, Success",https://www.aesengineers.com/scholarships.php,,,,,,,
5,Dr. Pepper Tuition Giveaway,"$100,000",,10/17/24,One of a Kind Goal,https://www.drpeppertuition.com/,,,,,,,
6,US Senate Youth Program,"$10,000",,10/19/24,"Plan to Study History or Political Science, Academics, Leadership, Community Involvement, Extracurriculars",https://ussenateyouth.org/,,,,,,,
7,Horatio Alger Scholarship Award,Varies,,10/25/24,"Financial Need, Overcoming Obstacles",https://www.horatioalger.org/,,,,,,,
8,Coca-Cola Scholars Program,"$20,000",,10/31/24,Academics,https://www.coca-colascholarsfoundation.org/,,,,,,,
9,American Legion Oratorical Scholarship,"$30,000",,10/31/24,Voting,https://www.legion.org/get-involved/scholarships/national-high-school-oratorical-contest-scholarship,,,,,,,
10,Prudential Emerging Visionaries,"$5,000",,11/5/24,Community Service,https://www.changemakers.com/en/challenge/emergingvisionaries/eligibility-criteria-awards,,,,,,,
11,School House Scholarship,"$1,000",,11/9/24,Must have been homeless in the last 6 years,https://www.schoolhouseconnection.org/youth-leadership/scholarship-program/,,,,,,,
12,The George S. and Stella M. Knight Essay Contest,Varies,,2/15/25,American Revolution/Declaration of Independence/United States Constitution,https://www.jkcf.org/scholarship-programs/college-scholarship/,,,,,,,
13,Dr. Juan Andrade Young Hispanic Scholars,"$1,000",,12/31/24,"Hispanic, Financial Need",https://www.ushli.org/dr-juan-andrade-jr-scholarship-for-young-hispanic-leaders/,,,,,,,
14,Andrew Flusche Scholarship Contest,$500,,4/30/25,Avoiding Distracted Driving,https://www.andrewflusche.com/scholarship/,,,,,,,
15,2019 National Space Club and Foundation Keynote Scholar,"$10,000",,11/1/24,"U.S. Citizen, Must Pursue a STEM Major",https://www.spaceclub.org/scholarship/index.html,,,,,,,
16,Bookoo Scholarship,"$1,000",,12/1/24,Educational Plans,https://www.bookoo.com/scholarships,,,,,,,
17,College Scholarship,"$1,000",,12/1/24,"Innovation, Influence, Positive Change, Creative Thinking",https://lambergoodnow.com/scholarships/#college,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,semesterly scholarship!!!